"Story","Title","Result","Date","Stability","Duration (s)"
"compra de productos online","Comprar productos on line desde la pagina web","SUCCESS","2021-03-09T17:51:49.974-05:00[America/Bogota]","0.0","76.26"
"compra de productos online","Comprar productos online desde la pagina web","SUCCESS","2021-03-09T18:12:30.528-05:00[America/Bogota]","0.0","246.6"
