"Story","Title","Result","Date","Stability","Duration (s)"
"compra de productos online","Comprar productos on line desde la pagina web","SUCCESS","2021-03-09T17:51:49.974-05:00[America/Bogota]","0.0","76.26"
"compra de productos online","Comprar productos online desde la pagina web","SUCCESS","2021-03-22T20:40:13.944-05:00[America/Bogota]","0.0","81.16"
